Year,Prod_Description (SKU),Payment_Mode,Order_Number,Order_Value,Order_Status,Street_Name,City,State,Pin_Code,Contact_Number,Tracking_ID,Customer_Type,Multiple_Item,Class_RWOD
2021,JKT-M-BLK-S-HV,COD,ORD202101038,"?3,070.45",Returned-Undelivered,Camp 37,Mysuru,Karnataka,596150,6772597000,10325046,Existing,0,1
2021,SRE-F-RED-L-HV,Pre-Paid,ORD202101039,"?3,717.23",Delivered,Indiranagar 245,Pune,Maharashtra,110599,,FX202879,New,1,0
2021,BAG-M-BLK-XS-MD,COD,ORD202101040,"?4,885.04",Delivered,Brigade Rd 204,Lucknow,Uttar Pradesh,259136,8833704300,EK132634,Existing,1,0
2021,TSH-F-GRN-XS-LT,Pre-Paid,ORD202101041,"?5,109.52",In-Transit,Indiranagar 203,Mumbai,Maharashtra,,7949889800,77642422,Existing,0,0
2021,WAT-U-RED-S-LT,Pre-Paid,ORD202101042,?551.49,Delivered,Rajaji Nagar 140,Pune,Maharashtra,155156,8196084000,77794650,Existing,0,0
2021,KRT-M-GRN-XL-MD,COD,ORD202101043,"?5,339.94",Delivered,Park Street 189,Gurugram,Haryana,332898,6464692600,SF459136,Existing,0,0
2021,JNS-M-NVY-XXL-MD,COD,ORD202101044,"?1,714.36",Delivered,Anna Salai 14,Ahmedabad,Gujarat,442425,7502742800,13486055,Existing,0,0
2021,JNS-F-WHT-XXL-HV,Pre-Paid,ORD202101045,?965.69,Delivered,Civil Lines 131,Bengaluru,Karnataka,382874,,13759708,New,0,0
2021,JKT-F-BLU-M-HV,COD,ORD202101046,"?1,727.61",Returned-Undelivered,Indiranagar 153,Kolkata,West Bengal,701134,6328302100,XB936149,Existing,1,1
2021,JNS-F-PNK-S-LT,Pre-Paid,ORD202101047,"?4,195.52",Delivered,Rajaji Nagar 57,New Delhi,Delhi,766704,8828714700,13524278,New,1,0
2021,WAT-F-BLK-M-HV,COD,ORD202101048,"?5,323.61",Delivered,Marine Drive 189,Noida,Uttar Pradesh,369401,8718984900,53568845,Existing,0,0
2021,BAG-M-NVY-S-HV,COD,ORD202101049,"?1,912.58",Delivered,Rajaji Nagar 36,Jaipur,Rajasthan,337975,9893237500,EZ838065,Existing,0,0
2021,SHO-U-RED-S-LT,Pre-Paid,ORD202101050,?524.46,Returned-Undelivered,MG Road 116,Kochi,Kerala,243366,,19571852,New,0,1
2021,SHO-U-NVY-XXL-MD,Pre-Paid,ORD202101051,"?3,321.08",Delivered,Linking Rd 65,Ludhiana,Punjab,238776,9772015600,13657062,Existing,0,0
2021,BAG-M-PNK-XS-LT,COD,ORD202101052,"?3,509.94",Delivered,Park Street 62,Nagpur,Maharashtra,,9548962300,SF486532,New,1,0
2021,DRS-U-GRY-XL-MD,COD,ORD202101053,?318.71,Returned-After-Delivery,Camp 168,Kolkata,West Bengal,642263,6673002100,13610558,Existing,1,0
2021,JNS-F-BLU-M-HV,COD,ORD202101054,"?3,553.79",Returned-Undelivered,Camp 187,Mumbai,Maharashtra,626270,6724537900,10123922,Existing,0,1
2021,KRT-U-NVY-XL-HV,Pre-Paid,ORD202101055,"?4,276.95",Delivered,Sector 15 62,Kolkata,West Bengal,218546,,SF836290,Existing,1,0
2021,BAG-M-GRN-XS-HV,COD,ORD202101056,"?3,497.89",Returned-After-Delivery,Anna Salai 240,Mysuru,Karnataka,518096,,19816651,Existing,0,0
2021,DRS-U-BLK-S-MD,COD,ORD202101057,"?4,717.87",Delivered,Marine Drive 194,Bengaluru,Karnataka,272770,6346336300,19224146,Existing,0,0
2021,KRT-U-RED-XS-HV,COD,ORD202101058,"?3,637.46",Returned-After-Delivery,Park Street 166,Hyderabad,Telangana,729388,7726667300,DL275106,Existing,1,0
2021,DRS-U-NVY-XL-LT,Pre-Paid,ORD202101059,?837.83,Returned-Undelivered,Park Street 202,Kochi,Kerala,141458,8323307100,55688212,Existing,0,1
2021,JNS-M-WHT-M-LT,COD,ORD202101060,"?4,925.36",Returned-Undelivered,Camp 128,Ahmedabad,Gujarat,544178,,FX704094,New,1,1
2021,DRS-U-BLK-XL-HV,Pre-Paid,ORD202101061,"?2,438.76",Delivered,Rajaji Nagar 28,Gurugram,Haryana,619142,7211272400,10957323,Existing,1,0
2021,JKT-M-GRY-XXL-MD,COD,ORD202101062,"?3,345.92",Returned-Undelivered,Linking Rd 50,Hyderabad,Telangana,,8430788700,10563853,New,0,1
2021,JNS-M-WHT-L-MD,Pre-Paid,ORD202101063,?723.96,In-Transit,Marine Drive 4,Ludhiana,Punjab,606709,9197305300,EK329549,Existing,0,0
2021,WAT-F-GRN-S-LT,COD,ORD202101064,"?5,671.41",Delivered,FC Road 177,Chennai,Tamil Nadu,270115,8681417100,DL941518,New,0,0
2021,WAT-M-BLK-L-LT,Pre-Paid,ORD202101065,"?5,648.55",Delivered,Indiranagar 72,Ludhiana,Punjab,305977,9545248900,SF490494,Existing,0,0
2021,DRS-M-PNK-XL-LT,Pre-Paid,ORD202101066,"?2,481.21",Delivered,Rajaji Nagar 141,Kolkata,West Bengal,711204,8556205500,DL268617,Existing,1,0
2021,WAT-F-NVY-M-HV,Pre-Paid,ORD202101067,"?3,007.20",Delivered,Anna Salai 156,Surat,Gujarat,407630,9701672500,77581859,Existing,0,0
2021,KRT-U-BLU-S-LT,Pre-Paid,ORD202101068,?499.23,Delivered,Linking Rd 67,Ahmedabad,Gujarat,667549,9602123500,53523825,Existing,0,0
2021,SRE-U-RED-XS-MD,Pre-Paid,ORD202101069,"?1,249.75",Delivered,Brigade Rd 199,Kolkata,West Bengal,708622,7353635300,FX833351,New,1,0
2021,DRS-F-PNK-M-LT,Pre-Paid,ORD202101070,?970.89,Delivered,Camp 193,Coimbatore,Tamil Nadu,,9898256800,77653674,Existing,0,0
2021,JKT-F-GRY-M-MD,COD,ORD202101071,?365.71,Returned-After-Delivery,Brigade Rd 150,Hyderabad,Telangana,,8379845100,SF809694,New,1,0
2021,TOP-F-GRN-XXL-LT,Pre-Paid,ORD202101072,?756.90,Delivered,Rajaji Nagar 90,Kochi,Kerala,661459,7504432100,DL147277,Existing,0,0
2021,WAT-F-RED-XXL-MD,Pre-Paid,ORD202101073,"?5,619.17",Delivered,FC Road 228,Lucknow,Uttar Pradesh,658515,6198300700,13271346,New,0,0
2021,TOP-M-BLU-S-MD,Pre-Paid,ORD202101074,"?2,960.46",Returned-After-Delivery,Linking Rd 54,Mumbai,Maharashtra,350217,9391345300,55994354,New,0,0
2021,JKT-M-BLK-XS-MD,COD,ORD202101075,?961.39,Delivered,Indiranagar 143,Lucknow,Uttar Pradesh,725128,9963757900,13278413,Existing,0,0
2021,SRE-M-NVY-L-HV,COD,ORD202101076,"?3,472.79",Delivered,Park Street 189,Kochi,Kerala,564964,8169912900,53662704,Existing,1,0
2021,JKT-U-GRY-XL-HV,COD,ORD202101077,"?4,585.65",Delivered,Marine Drive 116,Gurugram,Haryana,,9131305600,77593475,Existing,1,0
2021,KRT-U-GRN-XL-LT,COD,ORD202101078,"?4,323.19",Delivered,Sector 15 14,Kolkata,West Bengal,531878,8942218200,85625621,New,0,0
2021,SHO-U-RED-XL-LT,Pre-Paid,ORD202101079,"?2,472.37",Delivered,Linking Rd 40,Nagpur,Maharashtra,763462,7263378800,19287356,New,0,0
2021,TSH-M-BLU-S-HV,COD,ORD202101080,"?4,196.31",Delivered,MG Road 202,Hyderabad,Telangana,461738,7409097800,55216139,New,0,0
2021,TOP-U-WHT-M-HV,COD,ORD202101081,"?1,898.79",Delivered,Rajaji Nagar 153,Hyderabad,Telangana,618626,9161826400,SF419919,New,0,0
2021,BAG-M-RED-XS-HV,COD,ORD202101082,"?1,169.64",Returned-After-Delivery,Camp 76,Ahmedabad,Gujarat,477975,8154358200,53265096,New,0,0
2021,WAT-M-BLU-L-LT,COD,ORD202101083,"?4,741.93",Returned-Undelivered,Sector 15 102,Kochi,Kerala,432809,6958834000,85537506,Existing,0,1
2021,TOP-F-RED-M-MD,COD,ORD202101084,"?5,931.80",Delivered,Park Street 159,Ludhiana,Punjab,132365,6462773800,BD148913,Existing,0,0
2021,JKT-U-GRY-M-HV,COD,ORD202101085,?770.60,Delivered,Park Street 249,Kochi,Kerala,545381,8426145600,77585454,New,1,0
2021,TSH-F-WHT-XS-MD,Pre-Paid,ORD202101086,"?5,784.86",Delivered,Marine Drive 49,Hyderabad,Telangana,,9720268300,77309790,New,1,0
2021,JKT-F-WHT-L-LT,COD,ORD202101087,"?1,885.46",Delivered,Indiranagar 214,Gurugram,Haryana,564025,8412855300,EK774894,New,0,0
2021,KRT-F-PNK-XXL-MD,Pre-Paid,ORD202101088,"?2,740.04",Delivered,Camp 80,Ludhiana,Punjab,,9252481600,DL336449,New,1,0
2021,SHO-U-WHT-XS-LT,COD,ORD202101089,?771.05,Delivered,Park Street 31,Jaipur,Rajasthan,,7156479500,85514731,Existing,0,0
2021,WAT-M-GRN-L-LT,Pre-Paid,ORD202101090,"?1,127.40",Delivered,FC Road 202,Ludhiana,Punjab,140885,6898941700,DL669774,Existing,0,0
2021,JNS-F-BLU-XL-HV,Pre-Paid,ORD202101091,"?4,856.24",Returned-Undelivered,Civil Lines 61,Bengaluru,Karnataka,,9488353600,53294286,Existing,1,1
2021,BAG-M-GRN-XL-MD,Pre-Paid,ORD202101092,?529.91,In-Transit,Sector 15 58,Jaipur,Rajasthan,344849,7776949400,EZ710682,New,0,0
2021,DRS-F-WHT-XS-LT,COD,ORD202101093,"?4,832.53",Returned-Undelivered,Park Street 35,Hyderabad,Telangana,121321,9678833200,10958612,New,0,1
2021,TOP-M-GRN-L-HV,COD,ORD202101094,"?4,051.40",Returned-Undelivered,Civil Lines 57,Kolkata,West Bengal,,8489072700,53891360,Existing,1,1
2021,WAT-U-NVY-M-LT,Pre-Paid,ORD202101095,"?3,773.46",Delivered,FC Road 245,Pune,Maharashtra,797805,9690757300,19930425,New,0,0
2021,SRE-U-BLK-XS-HV,Pre-Paid,ORD202101096,"?1,380.04",Delivered,Marine Drive 171,Hyderabad,Telangana,220761,7452392300,SF781095,Existing,0,0
2021,TSH-F-WHT-S-LT,COD,ORD202101097,"?3,961.12",Returned-Undelivered,Marine Drive 160,Lucknow,Uttar Pradesh,207605,8219628900,10564330,Existing,0,1
2021,JKT-U-BLU-L-HV,COD,ORD202101098,"?4,979.50",Delivered,Anna Salai 17,Chennai,Tamil Nadu,427448,8956863900,13696117,New,1,0
2021,JNS-F-GRN-S-HV,COD,ORD202101099,"?3,610.35",Delivered,Civil Lines 211,Mysuru,Karnataka,,8108206200,53151264,Existing,1,0
2021,DRS-M-GRY-M-LT,Pre-Paid,ORD202101100,?347.46,Returned-After-Delivery,Civil Lines 90,Gurugram,Haryana,731584,8893846800,SF163840,Existing,1,0
2021,BAG-U-WHT-L-HV,COD,ORD202101101,"?1,787.22",Delivered,Park Street 248,Lucknow,Uttar Pradesh,173909,8234433000,55364150,New,0,0
2021,DRS-U-PNK-XXL-MD,COD,ORD202101102,"?1,616.48",Delivered,Civil Lines 184,Ahmedabad,Gujarat,584186,9678476800,19630541,New,0,0
2021,DRS-F-GRY-XXL-MD,Pre-Paid,ORD202101103,"?1,415.92",Delivered,Sector 15 201,Hyderabad,Telangana,659919,6517965400,XB895621,New,0,0
2021,DRS-F-RED-S-HV,Pre-Paid,ORD202101104,"?5,958.58",Returned-Undelivered,Park Street 146,Jaipur,Rajasthan,471543,,55550816,Existing,1,1
2021,TSH-F-WHT-XXL-LT,COD,ORD202101105,"?1,772.13",Delivered,Brigade Rd 26,Ludhiana,Punjab,330423,,SF484237,New,0,0
2021,SHO-M-BLK-XL-LT,COD,ORD202101106,"?1,185.73",Delivered,Sector 15 12,Noida,Uttar Pradesh,563121,6998810200,EK698975,Existing,0,0
2021,TOP-U-PNK-XS-LT,Pre-Paid,ORD202101107,"?5,736.05",Returned-After-Delivery,Sector 15 79,Chennai,Tamil Nadu,434713,,XB688019,New,0,0
2021,WAT-U-RED-L-MD,Pre-Paid,ORD202101108,"?2,588.92",Delivered,FC Road 242,Gurugram,Haryana,727775,,XB629504,New,1,0
2021,WAT-U-WHT-XS-MD,COD,ORD202101109,?523.62,Returned-Undelivered,Marine Drive 71,Coimbatore,Tamil Nadu,188909,9769619800,77748914,New,0,1
2021,SHO-U-GRN-XS-LT,COD,ORD202101110,"?2,148.61",Returned-Undelivered,Rajaji Nagar 135,Jaipur,Rajasthan,435994,9237602800,SF551654,Existing,0,1
2021,JNS-F-NVY-XS-HV,COD,ORD202101111,"?5,799.43",Returned-Undelivered,FC Road 206,Gurugram,Haryana,573043,9277222600,BD871138,New,0,1
2021,KRT-F-GRY-XXL-HV,Pre-Paid,ORD202101112,"?4,382.90",Delivered,Civil Lines 156,Chennai,Tamil Nadu,593653,8272389600,SF412057,New,0,0
2021,JNS-U-BLK-M-LT,COD,ORD202101113,?603.65,Delivered,FC Road 18,Bengaluru,Karnataka,359913,8590995000,55599608,New,0,0
2021,TOP-F-GRN-M-HV,Pre-Paid,ORD202101114,"?3,224.54",Delivered,Rajaji Nagar 129,New Delhi,Delhi,,,BD650530,Existing,0,0
2021,BAG-M-RED-XXL-HV,COD,ORD202101115,"?5,140.95",Delivered,Camp 25,Ahmedabad,Gujarat,542560,7934559200,13480716,New,0,0
2021,JKT-M-RED-L-HV,COD,ORD202101116,"?3,776.68",Delivered,Camp 93,Noida,Uttar Pradesh,367995,9531206200,10832196,New,0,0
2021,KRT-M-RED-S-MD,COD,ORD202101117,"?5,035.04",Returned-Undelivered,Civil Lines 54,Kolkata,West Bengal,646521,8542184400,XB574111,New,0,1
2021,JKT-M-WHT-L-MD,COD,ORD202101118,"?1,939.61",Returned-After-Delivery,Linking Rd 234,Bengaluru,Karnataka,111014,9784959400,10687905,New,0,0
2021,JKT-U-BLU-XXL-LT,COD,ORD202101119,"?5,724.04",Delivered,Indiranagar 78,Noida,Uttar Pradesh,572429,7402846400,13968120,New,1,0
2021,JNS-U-PNK-XXL-HV,COD,ORD202101120,"?5,094.11",Returned-Undelivered,Camp 28,Kochi,Kerala,134847,6280005400,53633584,New,0,1
2021,WAT-F-GRY-M-LT,Pre-Paid,ORD202101121,"?2,790.93",Delivered,Brigade Rd 225,Ludhiana,Punjab,666542,7829486000,SF145156,Existing,0,0
2021,KRT-U-PNK-L-HV,Pre-Paid,ORD202101122,"?1,960.91",Delivered,Park Street 17,Gurugram,Haryana,539294,6350187400,SF549370,New,1,0
2021,SHO-M-PNK-L-HV,Pre-Paid,ORD202101123,"?3,872.81",In-Transit,Rajaji Nagar 56,Surat,Gujarat,169839,6108560800,FX535133,Existing,0,0
2021,JKT-F-BLU-XXL-HV,Pre-Paid,ORD202101124,"?1,735.53",Delivered,MG Road 178,Gurugram,Haryana,122013,7267268600,19524080,New,1,0
2021,TOP-F-GRY-L-LT,Pre-Paid,ORD202101125,"?3,629.01",Delivered,Indiranagar 243,Jaipur,Rajasthan,535006,9468211600,19177751,New,1,0
2021,JKT-M-PNK-S-HV,COD,ORD202101126,?812.66,Delivered,Brigade Rd 122,Gurugram,Haryana,408994,9294653800,77216895,Existing,1,0
2021,DRS-F-PNK-S-LT,COD,ORD202101127,"?5,600.64",Returned-Undelivered,Sector 15 119,Ahmedabad,Gujarat,372285,8415619200,19355069,New,0,1
2021,BAG-U-GRN-M-MD,COD,ORD202101128,"?2,473.66",Delivered,Camp 46,Mysuru,Karnataka,524017,8538442200,SF195752,Existing,0,0
2021,TOP-M-NVY-S-LT,COD,ORD202101129,?563.74,Delivered,Park Street 132,Kochi,Kerala,308306,9624473200,77378479,New,0,0
2021,WAT-U-BLU-XL-LT,COD,ORD202101130,"?3,318.60",Delivered,Park Street 212,Noida,Uttar Pradesh,771431,6206979400,SF944146,Existing,0,0
2021,TSH-M-NVY-XXL-HV,COD,ORD202101131,"?2,109.28",Returned-After-Delivery,Rajaji Nagar 55,Hyderabad,Telangana,393587,7354728800,BD688220,Existing,0,0
2021,TOP-U-BLU-XS-MD,COD,ORD202101132,"?4,529.08",Delivered,Civil Lines 95,Noida,Uttar Pradesh,559582,6257347000,77307374,New,0,0
2021,JKT-F-BLU-XL-HV,Pre-Paid,ORD202101133,"?2,746.11",Delivered,Park Street 152,Gurugram,Haryana,193462,8278981200,13402549,Existing,1,0
2021,SRE-U-NVY-M-HV,COD,ORD202101134,"?3,733.15",Returned-After-Delivery,Sector 15 249,Kolkata,West Bengal,457559,9209967400,XB287844,Existing,1,0
2021,SHO-U-WHT-L-LT,COD,ORD202101135,"?3,079.78",Returned-After-Delivery,Park Street 145,New Delhi,Delhi,446948,9269128000,10686254,Existing,1,0
2021,JNS-F-RED-XXL-HV,COD,ORD202101136,"?5,329.22",Delivered,Anna Salai 43,Gurugram,Haryana,,7916799500,EK142693,New,0,0
2021,KRT-F-GRY-S-HV,COD,ORD202101137,"?4,703.54",Returned-Undelivered,MG Road 108,Jaipur,Rajasthan,369501,8335613700,13559470,Existing,0,1
2021,KRT-U-WHT-XL-LT,Pre-Paid,ORD202101138,"?4,040.55",Delivered,MG Road 209,Jaipur,Rajasthan,574860,6895383100,EK670694,Existing,0,0
2021,JKT-U-GRN-S-HV,COD,ORD202101139,"?4,796.36",Delivered,Civil Lines 235,Chennai,Tamil Nadu,300697,7334155700,EK403731,New,0,0
2021,JKT-U-GRN-L-MD,COD,ORD202101140,?817.52,Delivered,Anna Salai 70,Ludhiana,Punjab,178720,6918088300,55901825,Existing,1,0
2021,SHO-M-BLU-XL-LT,Pre-Paid,ORD202101141,"?3,312.15",Delivered,Indiranagar 179,Jaipur,Rajasthan,504448,9507168100,55184977,Existing,0,0
2021,SRE-M-GRY-XS-MD,Pre-Paid,ORD202101142,"?1,009.38",Delivered,Rajaji Nagar 71,Ludhiana,Punjab,,8528608800,BD924250,New,0,0
2021,TSH-U-NVY-L-HV,COD,ORD202101143,"?2,729.06",Returned-Undelivered,Sector 15 201,Ludhiana,Punjab,622897,9212231800,55114688,New,0,1
2021,TSH-M-WHT-XS-MD,COD,ORD202101144,?706.42,In-Transit,Civil Lines 116,Ahmedabad,Gujarat,582809,7325910800,55461920,New,0,0
2021,WAT-M-NVY-L-MD,COD,ORD202101145,"?5,145.93",Returned-After-Delivery,Park Street 154,Chennai,Tamil Nadu,595062,8789927400,13384598,New,1,0
2021,JNS-M-PNK-XL-HV,COD,ORD202101146,"?4,863.93",Returned-After-Delivery,Brigade Rd 94,Pune,Maharashtra,314502,6513568000,55912550,New,0,0
2021,DRS-M-RED-XS-LT,Pre-Paid,ORD202101147,?861.42,Delivered,Brigade Rd 148,Jaipur,Rajasthan,308362,6943111000,EK574732,New,1,0
2021,BAG-U-RED-L-HV,COD,ORD202101148,"?3,170.05",Delivered,Marine Drive 140,New Delhi,Delhi,351428,9322159600,BD784761,Existing,0,0
2021,JNS-M-GRN-XS-MD,COD,ORD202101149,?878.27,Delivered,Linking Rd 195,Jaipur,Rajasthan,683090,8482912200,SF447547,New,1,0
2021,BAG-F-BLK-L-HV,Pre-Paid,ORD202101150,"?1,464.50",Delivered,Civil Lines 214,New Delhi,Delhi,156117,7985074400,13734329,New,1,0
2021,JNS-U-PNK-XL-HV,Pre-Paid,ORD202101151,"?4,955.35",Returned-Undelivered,Brigade Rd 137,Noida,Uttar Pradesh,538673,8507590200,EZ723160,New,0,1
2021,DRS-M-PNK-XS-HV,Pre-Paid,ORD202101152,?521.74,Delivered,Camp 79,Ahmedabad,Gujarat,741067,7598690000,19190725,New,0,0
2021,TSH-F-GRN-XL-MD,COD,ORD202101153,"?3,252.53",Delivered,MG Road 64,Lucknow,Uttar Pradesh,451885,8886911400,BD599489,Existing,0,0
2021,SRE-U-GRY-M-LT,Pre-Paid,ORD202101154,"?2,212.84",In-Transit,MG Road 21,Kochi,Kerala,726724,6750059200,55145304,New,0,0
2021,TOP-F-GRN-L-HV,COD,ORD202101155,?319.61,Delivered,MG Road 97,Coimbatore,Tamil Nadu,,9378901900,XB756738,Existing,0,0
2021,TOP-M-WHT-L-MD,Pre-Paid,ORD202101156,"?3,397.74",Returned-Undelivered,Linking Rd 20,Ludhiana,Punjab,134415,6107085700,DL971339,New,0,1
2021,KRT-M-NVY-XXL-LT,Pre-Paid,ORD202101157,"?3,201.69",Delivered,Marine Drive 167,New Delhi,Delhi,752979,,FX731384,Existing,1,0
2021,KRT-M-GRN-XL-LT,Pre-Paid,ORD202101158,"?3,490.81",Delivered,Sector 15 129,Nagpur,Maharashtra,790445,9287263000,DL995428,New,1,0
2021,BAG-U-RED-L-HV,Pre-Paid,ORD202101159,"?5,077.86",Delivered,Civil Lines 155,New Delhi,Delhi,636822,6453703600,FX956625,New,1,0
2021,KRT-F-NVY-L-HV,COD,ORD202101160,"?2,122.52",Returned-Undelivered,Linking Rd 186,Ludhiana,Punjab,528607,6636056200,13583066,New,1,1
2021,SHO-U-WHT-M-HV,Pre-Paid,ORD202101161,"?1,113.47",Delivered,Anna Salai 2,Mysuru,Karnataka,560390,9568554400,53575857,New,1,0
2021,JNS-M-BLK-S-LT,COD,ORD202101162,"?4,888.86",Delivered,Civil Lines 104,Nagpur,Maharashtra,413027,9200107000,DL179228,Existing,0,0
2021,BAG-U-BLU-XL-HV,Pre-Paid,ORD202101163,?736.51,Delivered,Park Street 157,Lucknow,Uttar Pradesh,229773,8178368400,BD878973,Existing,1,0
